"Koin - Callback Listing","Koin - Listagem de Callback"
"installments","Número de Parcelas"
"Installments","Número de Parcelas"
"Created","Data de Criação"
"API Key","Chave da API"
"Marketplace ID","ID do Marketplace"
"Refund when order is cancelled","Estornar Quando Pedido for Cancelado"
"Show Payment Info at Success Page","Exibir Informação de Pagamento na Página de Sucesso"
"Enable Log Requests","Habilitar Log de Requisição"
"Address Attributes","Atributos de Endereço"
"Street","Rua"
"Number","Número"
"Complement","Complemento"
"District","Distrito"
"Customer Attributes","Atributos de Cliente"
"Company Attribute","Atributo de Empresa"
"Enabled","Habilitado"
"Title","Título"
"Logo to be shown on checkout page","Logo que deve ser mostrada na página de checkout"
"Checkout Instructions","Instruções do Checkout"
"Instructions to be shown in checkout's page, it can be HTML","Instruções para ser mostrada na página do checkout, pode ser HTML"
"New Order Status","Status de Novo Pedido"
"Paid Order Status","Status de Pedido Pago"
"Paid Virtual Order Status","Status de Pedido Virtual Pago"
"Cancel Unapproved Orders","Cancelar Pedido Não Aprovado"
"Order unapproved will be automatically cancelled","Pedidos não aprovados serão cancelados automaticamente"
"Cancelled Order Status","Status de Pedido Cancelado"
"Sort Order","Ordenação"
"Payment From Applicable Countries","Pagamento de Países Aplicáveis"
"Payment From Specific Countries","Pagamento de Países Específicos"
"Order canceled automatically","Pedido cancelado automaticamente"
"Order status automatically updated to %1","Status do pedido atualizado automaticamente para %1"
"Your payment for the order %1 was confirmed","O Pagamento do seu pedido  %1 foi confirmado"
"The order %1 was cancelled","O pedido %1 foi cancelado"
"The order %1 was cancelled. Amount of %2","O pedido %1 foi cancelado. Total cancelado: %2"
"Identifier of the organization that's using the service (Provider by Koin)","Identificador da organização que esta utilizando o serviço (Fornecido pela Koin)"
"If enabled, the transaction will be done in Koin test environment","Se estiver habilitado, a transação será feita no ambiente de teste da Koin"
"If your store shows the payment info at success page, DON'T enable this feature","Se sua loja mostra as informações de pagamento na página de sucesso, NÃO ative este recurso"
"Customer Type Attribute","Atributo de Tipo de Cliente"
"Customer Type Value","Valor do Tipo de Cliente"
"Value that identify the customer type as a company, Koin cannot show to customers identified as a company","Valor que identifica o cliente do tipo jurídico, Koin não será exibido para clientes identificados como jurídico "
"Customer attribute that identify the customer type","Atributo de cliente que identifica o tipo do cliente"
"Show Logo","Exibir Logo"
"If not, Koin's logo besides the method title","Caso não, a logo da Koin não será exibido ao lado do título"
"Use Default Checkout Instructions","Usar Instruções Padrões no Checkout"
"If not, it'll show a default checkout instructions","Caso não, irá exibir instruções padrão no checkout"
"Text for order waiting e-mail validation","Texto para pedido aguardando validação de email"
"Text for order in review","Texto para pedido em revisão"
"Text for order waiting first payment","Texto para pedido aguardando pagamento"
"Taxvat is required.","CPF é obrigatório"
"Customer Taxvat","CPF do Cliente"
"Koin will send you an email with the next steps about your request. Be ready :)","A Koin enviará para o seu e-mail as próximas atualizações sobre o seu pedido de crédito. Fique atento :)"
"Your request with Koin wasn't approved right now, for that reason your order was cancelled","Seu pedido de crédito com a Koin não foi aprovado dessa vez, por esse motivo o pedido foi cancelado. Tente novamente com outro meio de pagamento!"
